subject_code,section_code,mode,test_slug,question_id,prompt,choiceA,choiceB,choiceC,choiceD,choiceE,correct,explanation,difficulty,tags,image_url
APMACRO,EIBC,SECTION,,Q147,"As a result of automatic stabilizers, during economic expansions government expenditures",and taxes fall.,and taxes rise.,rise and taxes fall.,fall and taxes rise.,remain stable.,D,"(D) During an economic expansion output, income, and employment increase. This results in fewer households qualifying for income maintenance programs such as food stamps and housing subsidies. Government expenditures fall, but tax collections rise because more income means more tax revenue for the government.",,,
APMACRO,EIBC,SECTION,,Q149,Which of the following shifts the production possibilities frontier outward?,A decrease in the price level.,An increase in labor productivity.,An increase in the money supply.,A decrease in the unemployment rate.,A decrease in the minimum wage.,B,"(B) Only changes in technology/ productivity or changes in resource availability can shift the production possibilities frontier. Many students choose D here, but notice that a decrease in unemployment will move the economy onto the frontier from a point inside the frontier.",,,
APMACRO,BEC,SECTION,,Q150,In the circular-flow diagram households send to firms in return for,resources; spending,spending; resources,resources; wages and profits,goods and services; wages,goods and services; spending,C,"(C) Households own the resources (land, labor, capital) in the economy. They sell them to firms in exchange for wages and profits.",,,
APMACRO,BEC,SECTION,,Q151,An Italian company opens a shoe factory in the U.S. The production from this shoe company is included in,the Italian GDP.,the U.S. GDP.,both the Italian and U.S. GDP,both the Italian and U.S. GDP split 50/50.,neither the Italian nor U.S. GDP.,B,(B) It does not matter where the company has its headquarters. GDP counts production within a nation's borders.,,,
APMACRO,BEC,SECTION,,Q152,Which of the following is NOT included in GDP?,Federal government purchases of goods and services.,Imports.,State and local government purchases of goods and services.,Exports.,The change in business inventories.,B,"(B) Consider the equation GDP = C + I + G + X. X is exports minus imports. So exports are included in GDP, but imports are subtracted out. G is federal, state, and local government purchases; I is business spending on plant and equipment plus the change in business inventories.",,,
APMACRO,NIPD,SECTION,,Q153,An increase in the price level reduces total spending in the economy because,Only I is correct.,I and II are correct.,I and III are correct.,II and III are correct.,"I, II, and III are correct.",D,"(D) When the price level rises, so does total income in the economy. Therefore I is not correct. However, foreign incomes do not rise, so foreigners buy less of our products. II is correct. III is a statement of Fisher's Hypothesis and is also correct.",,,
APMACRO,EIBC,SECTION,,Q154,Suppose real GDP increases. We can conclude without a doubt that,prices are higher.,employment is higher.,production is higher.,prices and/or output is higher.,unemployment is lower.,C,(C) When real GDP rises it can only be due to more production. Price changes do not affect real GDP. Employment (and therefore unemployment) may or may not change with changes in real GDP.,,,
APMACRO,EIBC,SECTION,,Q155,The appropriate fiscal policy to remedy a recession is to,increase government spending and taxes.,reduce government spending and taxes.,increase government spending and reduce taxes.,decrease government spending and increase taxes.,increase the money supply.,C,"(C) Increasing government spending and reducing taxes stimulate aggregate demand and fight recessions. Increasing the money supply does this as well, but that is monetary policy.",,,
APMACRO,FS,SECTION,,Q156,Which of the following would lead to a decrease in the money supply?,The FED lowers the discount rate.,The FED sells government securities in the secondary market.,The federal government spends less money.,The FED lowers reserve requirements.,Taxes are reduced.,B,(B) When the Fed sell securities in the secondary market they get paid with checks drawn on bank accounts. Bank reserves fall and the money supply falls by a multiple of the decline in bank reserves.,,,
APMACRO,LRCSP,SECTION,,Q157,Which of the following statements is correct in regard to the federal budget deficit and the federal debt?,"When the debt is negative, the deficit decreases.","When the debt is positive, the deficit decreases.",The deficit is the accumulation of past debts.,"When the deficit is negative, the debt decreases.","When the deficit is negative, the debt increases.",D,"D   The deficit is the difference between government spending and tax revenue (G ? T) for a given year. The debt is the accumulation of past deficits (an accounting of total difference between government spending and tax revenues). The sign of debt gives no information on deficit, as it is changes in debt that the deficit measures, so eliminate (A) and (B). Choice (C) is reversed in that debt is the accumulation of past deficits, so eliminate (C). When the deficit is negative, then tax revenues exceed government spending. This leads to a decrease in debt. Therefore the answer is (D).",,,
APMACRO,FS,SECTION,,Q158,"If interest rates rise relatively more in country A than in country B, then the value of country A's currency will",appreciate.,depreciate.,remain unchanged.,change indeterminately.,depreciate by the difference in interest rates.,A,"(A) When interest rates rise in country A, people from country B will want to place loans there. People from country B will need to obtain the currency of country A in order to do this. The demand for country A's currency rises. This causes it to appreciate.",,,
APMACRO,EIBC,SECTION,,Q159,"If the marginal propensity to consume equals .75 and government spending increases by $100 million, then overall real GDP can be expected to",decrease by $133.33 million.,increase by $133.33 million.,decrease by $400 million.,increase by $400 million.,increase by $75 million.,D,"(D) If the marginal propensity to consume is .75, then the multiplier is 4 ( = 1/(1 - .75)). The increase in government spending gets multiplied by 4 to determine the overall increase in spending and therefore real GDP. 4 x $100 million = $400 million.",,,
APMACRO,LRCSP,SECTION,,Q160,Inflation,hurts creditors who do not anticipate it.,hurts creditors who anticipate it.,hurts debtors.,benefits debtors.,both A and D are correct.,E,"(E) Inflation hurts lenders because they are repaid in dollars that are not worth as much. Some lenders, however, anticipate this and demand higher rates of interest when the loan is made. Borrowers, or debtors, do not mind inflation because they get to repay loans with dollars that are worth less.",,,
APMACRO,EIBC,SECTION,,Q161,Which of the following persons is considered to be unemployed?,I only,II only,III only,I and III,II and III,A,"(A) Mary is frictionally unemployed. Retired persons presumably are not looking for work, so they are not part of the labor force. People who work part-time are counted as employed even if they would like to work full-time.",,,
APMACRO,EIBC,SECTION,,Q163,"The population of country X is exactly the same as country Y, but country X produces twice as much output as country Y. We can conclude that",the people of country X are smarter than the people of country Y.,the people of country X enjoy a standard of living twice as much as country Y.,the people of country Y enjoy a standard of living twice as much as country X.,the people of country Y work twice as hard as the people of country X.,country X is bigger than country Y.,B,(B) The standard of living depends on real GDP per capita. Country X has twice the output per person as country Y.,,,
APMACRO,EIBC,SECTION,,Q164,"If the government of country Z increases spending by $12 million dollars and raises tax collections by the same amount, then what will be the overall impact of these moves on real GDP in country Z?",Real GDP will increase by $6 million.,Real GDP will decrease by $6 million.,Real GDP will remain unchanged.,Real GDP will increase by $12 million.,Real GDP will decrease by $12 million.,D,(D) This is a balanced-budget move-government spending is increasing and tax collections are increasing by the same amount. It is not necessary to know the MPC. In this situation the net impact on real GDP is a change equivalent to the change in government spending.,,,
APMACRO,EIBC,SECTION,,Q165,Suppose you observe an economy where prices are falling and real GDP is rising. This may have been caused by,stagflation.,an advance in technology.,an increase in government spending.,a decrease in government spending.,a decrease in the money supply.,B,(B) A technological advance shifts the aggregate supply curve to the right.,,,
APMACRO,EIBC,SECTION,,Q166,Which of the following would reduce economic growth?,A decline in investment.,An increase in immigration from abroad.,A technological advance.,An increase in the labor force.,An increase in the savings rate.,A,"(A) Less investment implies less plant and equipment in the future. That reduces economic growth, whereas choices B through D all enhance growth.",,,
APMACRO,FS,SECTION,,Q167,Currency held by the public,"is not part of the money supply, but currency held by banks is.",is part of M 1 but not M2.,"is part of the money supply, but currency held by banks is not.",and by banks is part of the money supply.,or banks is not part of the money supply since it is not included in M I.,C,"(C) Currency in the vaults of depository institutions is not counted as part of the money supply. However, if you withdraw $100 from your checking account, M 1 is unaffected. When the money comes out of the bank's vault and goes into your pocket, that in itself raises the money supply by $100-but your checking account went down by $100 because of the withdrawal. It's a wash.",,,
APMACRO,OEITF,SECTION,,Q168,Depreciation of the dollar is most likely to,increase imports,increase travel abroad,increase exports,decrease a trade surplus,increase a trade deficit,C,"C   Depreciation of the dollar will make American goods cheaper to export, and will make imports more expensive for Americans. A direct consequence is that American companies will export more and demand for foreign goods in America will decrease. Therefore the answer is (C).",,,
APMACRO,FS,SECTION,,Q169,"According to Classical economic theory, the equation of exchange demonstrates the neutrality of money only if the",velocity of money supply and the quantity of output are constant.,money supply and its velocity are equal.,velocity of money supply equals the speed of transactions.,money supply and its velocity are inversely related.,money supply and the exchange rate are inversely related.,A,"(A) The velocity of money supply and the quantity of output must be constant in the equation of exchange or else, by algebra, a change in the money supply will not have a proportional effect on output in the equation of exchange.",,,
APMACRO,EIBC,SECTION,,Q170,Economy X is an open economy with flexible exchange rates. Economy Y is closed. Ceteris paribus expansionary monetary policy is,more effective in X because the policy will increase net exports.,more effective in X because the policy will decrease net exports.,equally effective in X and Y.,less effective in X because the policy will increase net exports.,less effective in X because the policy will decrease net exports.,E,"(E) The more open an economy, the less effective monetary policy will be. Consider an increase in the money supply. This will raise real GDP and prices in the short run. However, if the economy is open, then the increase in real GDP will boost incomes and therefore importation (which reduces real GDP somewhat), and the increase in prices will reduce exports (which also reduces real GDP somewhat).",,,
APMACRO,EIBC,SECTION,,Q171,An increase in the price of forklifts imported into the United States from Belgium will,increase the consumer price index and the GDP deflator.,increase the consumer price index but not the GDP deflator.,increase the GDP deflator but not the consumer price index.,increase the GDP deflator and the producer price index.,have no effect on the consumer price index or the GDP deflator.,E,"(E) The consumer price index will not be affected by the increase in the price of the forklifts because forklifts are an industrial product, not a consumer product. The GDP deflator is not affected because import prices are ignored by the deflator.",,,
APMACRO,EIBC,SECTION,,Q172,An increase in the demand for money in the economy could result from,a recession.,a higher price level.,higher interest rates.,expected future inflation.,a decrease in the supply of money.,B,(B) When prices rise people and firms have more money in their wallets and checking accounts in order to conduct their transactions.,,,
APMACRO,FS,SECTION,,Q173,The international value of the dollar will appreciate if,American income falls relative to the rest of the world.,American interest rates fall relative to interest rates in other countries.,American prices rise.,foreigners boycott American products.,speculators expect the value of the dollar to depreciate.,A,"(A) If income in America falls relative to the rest of the world, then Americans' demand for imports will decrease. Therefore, the supply of dollars will decrease relative to the demand for dollars. In turn, the value of the dollar increases.",,,
APMACRO,EIBC,SECTION,,Q174,The potential amount of money created after the Fed increases bank reserves will be diminished if,the public prefers to hold less cash.,the velocity of money falls.,depository institutions decide to hold more excess reserves.,the marginal propensity to consume falls.,the international value of the dollar falls.,C,"(C) If the Fed increases bank reserves, but banks decide to simply hold onto the new reserves, then the money expansion process will be curtailed. The process depends on banks using their new reserves to make loans out or buy investments.",,,
APMACRO,NIPD,SECTION,,Q175,An increase in the federal deficit may affect the demand for loan funds and therefore the real interest rate and investment spending. Which of the following gives the correct direction of these effects?,Increases            Increases      Increases,Decreases            Decreases      Decreases,Decreases            Decreases      Increases,Increases            Increases      Decreases,Increases            Decreases      Increases,D,(D) The government must borrow to finance the federal deficit and this raises the demand for loanable funds. The result will be an increase in the real interest rate and decrease in investment spending. This chain of events is known as crowding out.,,,
APMACRO,EIBC,SECTION,,Q176,"If the inflation rate is expected to increase in the immediate future, then",consumers will begin saving more now.,the velocity of money will fall.,this will put upward pressure on the nominal interest rate.,this will put downward pressure on the real interest rate.,the international value of the dollar will rise.,C,(C) Fisher's Hypothesis states that the nominal interest rate equals the real interest rate plus expected inflation.,,,
APMACRO,EIBC,SECTION,,Q177,"If the economy is in disequilibrium where the price level is such that the aggregate quantity of products demanded exceeds the aggregate quantity of products supplied, then",prices will be driven upward to restore equilibrium.,supply will increase.,demand will decrease.,supply will decrease.,a recession is inevitable.,A,"(A) If the price level in the economy is below the equilibrium price level, then the quantity of products demanded will exceed the quantity supplied. There will be a shortage, and shortages drive prices up.",,,
APMACRO,NIPD,SECTION,,Q178,"If 200 computers with a retail value of $100,000 are domestically produced in 2005, but not sold until 2006, then GDP in 2005 is","$100,000 higher because of the computers.",200 higher because of the computers.,unaffected until 2006 when the computers are sold and the figure for GDP in 2005 is revised.,higher by the wholesale value of the computers.,unaffected and the computers are counted in GDP for 2006.,A,"(A) Products get counted in GDP in the period they are produced. If they produced but not sold, then they are in inventory. The change in inventories is part of GDP. Inventory changes are included in investment.",,,
APMACRO,EIBC,SECTION,,Q179,The short-run Phillips curve indicates a,direct relation between unemployment and inflation,direct relation between price and quantity demanded,inverse relation between price and quantity demanded,inverse relation between unemployment and inflation,vertical relation between unemployment and inflation,D,D   The short-run Phillips curve illustrates the inverse relationship between unemployment and inflation rate (illustrated in Figure below). Therefore the answer is (D).,,,
APMACRO,EIBC,SECTION,,Q180,Appropriate fiscal and monetary polices during the contractionary phase of the business cycle include,budget surpluses and higher discount rates.,tax reductions and open market purchases.,budget surpluses and lower discount rates.,increases in government spending and higher discount rates.,decreases in government spending and lower discount rates.,B,"(B) Reducing taxes is a stimulatory fiscal policy, and open market purchases are expansionary monetary policy.",,,
APMACRO,EIBC,SECTION,,Q181,A change in government spending will have a greater short run impact on real output when,the marginal propensity to consume is lower.,the velocity of money is lower.,the velocity of money is higher.,the marginal propensity to consume is larger.,interest rates rise.,D,"(D) The multiplier is 1/(1 - MPG). Therefore, the higher the MPC, the higher the multiplier. With a higher multiplier, changes in government spending will have more impact on real GDP.",,,
APMACRO,EIBC,SECTION,,Q182,"Suppose a country produces only two goods, pizza and soda. Given the information in the table below, nominal GDP, real GDP, and the GDP deflator in 2005 are (assume 2004 is the base year):",800      400      200,130      260      50,260      130      200,260      196      133,800      400      400,C,(C),,,
APMACRO,EIBC,SECTION,,Q183,"If the economy experienced a decrease in real GDP and price level, this could best be explained by",a decline in labor productivity.,a technological advance.,a decline in investment.,an uptick in net exports.,a reduction in interest rates.,C,(C) Aggregate demand must decrease for real GDP and the price level to fall. A decline in investment causes aggregate demand to decrease.,,,
APMACRO,FS,SECTION,,Q185,"Suppose the real interest rate in a country rises. What can be expected to happen to the demand for this nation's currency and, therefore, the value of its currency and net exports?",Decreases            Appreciate      Decreases,Decreases            Depreciate      Decreases,Decreases            Depreciate      Increases,Increases            Appreciate      Increases,Increases            Appreciate      Increases,E,"(E) Higher real interest rates attract foreign investors. These investors demand the nation's currency which in turn appreciates its value. This makes domestic products more expensive to foreigners and foreign products less expensive to domestic citizens. Thus, net exports decrease.",,,
APMACRO,NIPD,SECTION,,Q186,"According to Keynesian analysis, the Great Depression was caused by",a lack of spending.,a sharp rise in the marginal propensity to consume.,too much investment.,too much foreign influence on the economy.,a sharp decline in labor productivity.,A,(A) Real output declined and the price level fell during the Great Depression. This can only be the result of aggregate demand shifting left-a lack of demand or spending.,,,
APMACRO,EIBC,SECTION,,Q187,"According to Classical analysis, an economy in a recession can return to full employment through",falling wages and prices.,rising wages and prices.,expansionary monetary policy.,increased government spending.,decreased government spending.,A,"(A) In Classical theory, a recession causes wages and prices to fall. The falling prices stimulate demand for products, while the falling wages stimulate demand for labor. This pickup in demand ends the recession and brings about full employment.",,,
APMACRO,EIBC,SECTION,,Q188,"If the cost of the basket of goods and services the Bureau of Labor Statistics uses to calculate the consumer price index rises from $200 in the base period to $400 in the current period, then the consumer price index",equals 0.5 in the current period.,has risen 5 percent from the base to the current period.,equals 50 in the current period.,equals 200 in the current period.,has risen 200 percent.,D,(D),,,
APMACRO,NIPD,SECTION,,Q189,"Contractionary monetary policy implies which of the following about the discount rate, the nominal interest rate, and aggregate demand?",Decreases            Increases      Decreases,Increases            Increases      Decreases,Decreases            Decreases      Decreases,Increases            Increases      Increases,Increases            Decreases      Decreases,B,"(B) Contractionary monetary policy means lowering the money supply. The Fed would increase the discount rate, which results in a higher nominal interest rate. Higher interest rates discourage spending which decreases aggregate demand.",,,
APMACRO,OEITF,SECTION,,Q190,Which of the following is included in U.S. GDP?,"II, III, and IV only",I and III only,II and IV only,IV only,III and IV only,E,"E   U.S. GDP is the total market value of all final goods and services produced in a year within the United States. Because the movies and olive oil were produced elsewhere, they can be ruled out. GDP includes net exports (exports minus imports), so even though they were exported, the blue jeans are included in GDP since they were made in the U.S. The wine is included as well, because although Canadians make it, it fits the criteria of being produced within the United States.",,,
APMACRO,FS,SECTION,,Q191,A decline in the demand for money could be the result of,higher prices.,more money placed in checking accounts.,higher returns on bonds.,more credit cards.,open market purchases by the Fed.,C,"(C) When the return on bonds and other assets rises, people and firms want to hold less money in their wallets and checking accounts and, instead, put the money into these assets with high returns.",,,
APMACRO,EIBC,SECTION,,Q192,An important assumption underlying monetarism is that,the marginal propensity to consume is constant.,the money supply is continuous.,the exchange rate is fixed.,the velocity of money is stable.,the exchange rate is flexible.,D,"(D) Monetarists feel that changes in the money supply have a profound impact on nominal GDP. According to the equation of exchange, this would not be true if the velocity of money fluctuated in the opposite direction of the change in the money supply.",,,
APMACRO,NIPD,SECTION,,Q193,Which of the following policies is most likely to bring about economic growth in the long run?,Imposing tariffs to protect domestic industries from foreign competition.,Placing taxes on savings.,Increasing government spending.,Increasing the money supply.,Promoting improvements in the education of the population.,E,(E) Economic growth is stimulated by investment in resources. Education enhances one of the most important resources in the economy-labor.,,,
APMACRO,EIBC,SECTION,,Q194,An increase in the price level and a decrease in real GDP in the short run could be the result of,a prolonged period of very bad weather.,a decrease in the money supply.,a decrease in consumer confidence.,an increase in consumer confidence.,an increase in the money supply.,A,"(A) Only a decrease in short run aggregate demand could cause an increase in the price level and a decrease in real GDP. It sounds odd, but a prolonged period of bad weather (droughts, monsoons, etc.) destroys resources such as farmland and other plant and equipment. Aggregate supply shifts left when fewer resources are available.",,,
APMACRO,OEITF,SECTION,,Q195,"In 2004, the United States had a trade deficit of $603 billion; therefore,",net exports were positive.,Americans consumed more than they produced.,America's government spent more than it took in.,$603 billion worth of capital flowed out of America.,the government had to make payments to foreign countries of $603 billion.,B,(B) A trade deficit means a country's imports exceed its exports. In this case a country is consuming more than it is producing.,,,
APMACRO,BEC,SECTION,,Q196,GDP measures a country's level of,I only.,II only.,III only.,I and II.,I and III.,E,"(E) The income and expenditure approaches to calculating GDP highlight the fact that GDP measures not only production, but income as well.",,,
APMACRO,FS,SECTION,,Q197,Which of the following lists contains only Fed actions that will increase the money supply?,Raise reserve requirements; lower the discount rate; sell bonds.,Raise reserve requirements; lower the discount rate; buy bonds.,Raise reserve requirements; raise the discount rate; sell bonds.,Lower reserve requirements; lower the discount rate; sell bonds.,Lower reserve requirements; lower the discount rate; buy bonds.,E,"(E) The three primary tools at the Fed's disposal for increasing the money supply are lowering reserve requirements, lowering the discount rate, and buying bonds on the open market.",,,
APMACRO,NIPD,SECTION,,Q198,Which of the following lists contains only policies that will close an inflationary gap?,Increase the money supply; run a federal budget deficit.,Decrease the money supply; run a federal budget deficit.,Decrease the money supply; increase taxes; reduce government spending.,Increase the money supply; increase taxes; reduce government spending.,Decrease the money supply; decrease taxes; reduce government spending.,C,(C) Aggregate demand needs to be decreased to close an inflationary gap. This can be accomplished with contractionary monetary policy (decreasing the money supply) or contractionary fiscal policy (increasing taxes or reducing government spending).,,,
APMACRO,OEITF,SECTION,,Q199,Suppose the exchange rates are 0.5 British Pound per dollar; 10 Mexican Pesos per dollar; and 100 Chinese Yuan per dollar. Further suppose that a Big Mac costs 3 dollars in America; 2 pounds in England; 50 pesos in Mexico; and 200 yuan in China. In which country is a Big Mac most expensive?,America ($3).,England ($4).,Mexico ($5).,China ($2).,England and China are equally most expensive.,C,(C) One way to solve this problem is to put all the different prices in dollar terms:,,,
APMACRO,EIBC,SECTION,,Q200,"Potential GDP will fall, ceteris paribus, if",the unemployment rate rises.,the retirement age is lowered.,tariffs protecting domestic jobs are eliminated.,more immigration is allowed.,the minimum wage is raised.,B,"(B) Potential GDP is how much could be produced using all resources fully and efficiently. In order for potential GDP to fall, resources must become less available or inefficiencies must be introduced into the production process. Lowering the retirement age means less labor is available.",,,
APMACRO,NIPD,SECTION,,Q201,Assume commercial banks save no excess reserves and the reserve requirement is 20 percent. How much money is created in new loans from all banks after this bank receives a deposit of $1000 ?,$800 ,"$1,000 ","$4,000 ","$5,000 ","$20,000 ",C,"C   This bank must keep 20 percent, which is $200, and can lend out the remaining $800. The answer is (C), because the money multiplier is the reciprocal of the reserve requirement, or = 5. When the money multiplier takes effect, $800 Ã 5 = $4000.",,,
APMACRO,EIBC,SECTION,,Q202,Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that,inflation had already impacted the economy before the fiscal stimulus.,the economy initially had some unemployed resources.,aggregate supply decreased.,aggregate demand is steeply sloped.,aggregate supply is steeply sloped.,B,"(B) Expansionary fiscal policy increases aggregate demand. Increases in aggregate demand raise prices and output. However, if there is a lot of unemployment and capacity to begin with, then the increase in aggregate demand can easily be met by increasing output.",,,
APMACRO,EIBC,SECTION,,Q203,"Imagine someone who is not looking for work because they are embarrassed in the interview process when their inability to read is revealed. However, this person would take just about any job that was offered. According to the Bureau of Labor Statistics this person is",in the labor force and unemployed.,in the labor force and employed.,not in the labor force.,"not in the labor force, but counted as unemployed.","not in the labor force, but counted as employed.",C,"(C) People like this are neither employed nor unemployed according to the Bureau of Labor Statistics because they are not counted as part of the labor force. To be in the labor force, one must be actively seeking employment.",,,
APMACRO,BEC,SECTION,,Q204,Which of the following transactions would be counted in GDP?,The cash you receive from babysitting your neighborâs kids,The sale of illegal drugs,The sale of cucumbers to a pickle manufacturer,The sale of a pound of tomatoes at a supermarket,The eBay resale of a sweater you received from your great aunt at Christmas,D,"D âThe supermarket tomatoes are the only final good sale and are counted. Babysitting is a non-market, cash ""under the table"" service. The sale of illegal drugs is a part of an underground economy. The sale of the cucumbers is an intermediate good. The resale of the sweater, even though it was never worn, is a second-hand sale. When your great aunt originally purchased it at the mall, it was counted in GDP.",,,
APMACRO,NIPD,SECTION,,Q205,"GDP is $10 million, consumer spending is $6 million, government spending is $3 million, exports are $2 million, and imports are $3 million. How much is spent for investments?",$0 million,$1 million,$2 million,$3 million,$4 million,C,"C âGDP = C + I + G + ( X - M ). This would mean that 10 = 6 + I + 3 + (2 - 3); therefore, I = $2 million.",,,
APMACRO,EIBC,SECTION,,Q206,"If Real GDP = $200 billion and the price index = 200, Nominal GDP is",$4 billion,$400 billion,$200 billion,$2 billion,Impossible to determine since the base year is not given,B,B âNominal GDP/price index (in hundredths) = Real GDP. Use this relationship to solve for Nominal GDP. $200 = (Nominal GDP)/2. Nominal GDP = $400 billion.,,,
APMACRO,EIBC,SECTION,,Q207,For Question below use the following information for a small town:,"2,000",950,900,"1,000","1,950",D,"D âLabor force is the employed + the unemployed. LF = 950 + 50 = 1,000. The remaining citizens are out of the labor force.",,,
APMACRO,EIBC,SECTION,,Q208,For Question below use the following information for a small town:,5 percent,2.5 percent,5.5 percent,7 percent,"Unknown, as we do not know the number of discouraged workers",A,"A âThe unemployment rate is the ratio of unemployed to the total labor force. UR = U/LF = 50/1,000 = 5%.",,,
APMACRO,EIBC,SECTION,,Q209,"You are working at a supermarket bagging groceries, but you are unhappy about your wage, so you quit and begin looking for a new job at a competing grocery store. What type of unemployment is this?",Cyclical,Structural,Seasonal,Frictional,Discouraged,D,"D âFrictional unemployment occurs when a person is in between jobs. This person has not been laid off due to a structural change in the demand for skills, or because of a cyclical economic downturn, or because of a new season. A low wage might be discouraging; a discouraged worker is a worker who has been unemployed for so long that he or she has ceased the search for work.",,,
APMACRO,NIPD,SECTION,,Q210,"When disposable income increases by $ X ,",consumption increases by more than $ X .,saving increases by less than $ X .,saving increases by exactly $ X .,saving remains constant.,saving decreases by more than $ X .,B,"B âA $1 increase in DI increases consumption by a factor of the MPC and increases saving by a factor of the MPS. Because both MPC and MPS represent the fraction of new income that is consumed and saved, consumption and saving increase by less than the increase in DI.",,,
APMACRO,NIPD,SECTION,,Q211,Which of the following is true about the consumption function?,The slope is equal to the MPC.,The slope is equal to the MPS.,The slope is equal to MPC + MPS.,It shifts upward when consumers are more pessimistic about the future.,It shifts downward when consumer wealth increases in value.,A,A âThe slope of the consumption function is the MPC. The slope of the saving function is the MPS.,,,
APMACRO,NIPD,SECTION,,Q212,"In a given period, the average price level in the country of Sherwood tripled, and Robin's income increased from $30,000 to $60,000. What happened to Robin's nominal and real income?",(A) Increased     Decreased,(B) Increased     Increased,(C) Decreased     Decreased,(D) Increased     Stayed the same,(E) Decreased     Increased,A,"A   Robin's nominal income is the number of dollars he received, which increased from $30,000 to $60,000. Robin's real income is the buying power of the dollars he receives. Because prices have tripled while his nominal income doubled, prices have increased by more than income. He will be able to buy less with his $60,000 now than when he received half of this income but prices were one-third what they are now. Thus, real income has decreased.",,,
APMACRO,EIBC,SECTION,,Q213,Which of the following events most likely increases real GDP?,An increase in the real rate of interest,An increase in taxes,A decrease in net exports,An increase in government spending,A lower value of consumer wealth,D,"D âAn increase in GDP is the result of an increase in C, I, G , or ( X - M ). All other choices represent less spending in some economic sector.",,,
APMACRO,EIBC,SECTION,,Q214,Which of the following choices is most likely to create the greatest decrease in real GDP?,"The government decreases spending, matched with a decrease in taxes.",The government increases spending with no increase in taxes.,The government decreases spending with no change in taxes.,The government holds spending constant while increasing taxes.,"The government increases spending, matched with an increase in taxes.",C,"C âLook for choices that decrease GDP by the largest magnitude. Choices B and E actually improve the economy (and GDP), so they are eliminated. A decrease in spending lowers GDP by a magnitude equal to the spending multiplier, which is larger than the tax multiplier, which in turn is larger than the balanced budget multiplier. This question is a prelude to fiscal policy.",,,
APMACRO,NIPD,SECTION,,Q215,The tax multiplier increases in magnitude when,the MPS increases.,the spending multiplier falls.,the MPC increases.,government spending increases.,taxes increase.,C,C âKnowing the relationship between the tax and spending multipliers allows you to make the right choice. Tm = MPC Ã Multiplier = MPC/MPS.,,,
APMACRO,FS,SECTION,,Q216,Which of the following is the source of the supply of loanable funds?,The stock market,Investors,Net exports,Banks and mutual funds,Savers,E,"E âBanks help facilitate lending to investors, but the real supply of those loanable funds are the savers who choose to place some of their disposable income dollars in those banks as saving.",,,
APMACRO,EIBC,SECTION,,Q217,"Using the model of AD and AS, what happens in the short run to real GDP, the price level, and unemployment with more consumption spending ( C )?",Increases     Decreases     Decreases,Decreases     Increases     Increases,Increases     Increases     Decreases,Decreases     Decreases     Decreases,Decreases     Decreases     Increases,C,"C âAn increase in consumption spending increases the AD curve, or shifts it to the right. Along the SRAS curve, we see increasing real GDP, a rising aggregate price level, and a lower unemployment rate.",,,
APMACRO,NIPD,SECTION,,Q218,Which is the best way to describe the AS curve in the long run?,Always vertical in the long run.,Always upward sloping because it follows the Law of Supply.,Always horizontal.,Always downward sloping.,Without more information we cannot predict how it looks in the long run.,A,"A âAll resources are employed at full employment in the long run, so firms cannot respond to an increase in the price level by increasing production. Thus, any increase in prices cannot increase production in the long run, and so AS is assumed to be vertical. Any short-run discrepancy in GDP, above or below, full employment adjusts back to GDPf in the long run.",,,
APMACRO,EIBC,SECTION,,Q219,Stagflation most likely results from,increasing AD with constant SRAS.,decreasing SRAS with constant AD.,decreasing AD with constant SRAS.,a decrease in both AD and SRAS.,an increase in both AD and SRAS.,B,"B âStagflation is an increase in the price level and an increase in unemployment. This is most often the result of falling SRAS and a constant AD. Choice D is incorrect because a simultaneous decrease in AD puts downward pressure on the price level, which offsets the upward pressure from falling SRAS.",,,
APMACRO,EIBC,SECTION,,Q220,"Equilibrium real GDP is far below full employment, and the government lowers household taxes. Which is the likely result?",Unemployment falls with little inflation.,Unemployment rises with little inflation.,Unemployment falls with rampant inflation.,Unemployment rises with rampant inflation.,No change occurs in unemployment or inflation.,A,"A âA deep recession describes macroeconomic equilibrium in the horizontal section of SRAS. Here, rising AD increases real GDP, and lowers unemployment, with little inflation.",,,
APMACRO,EIBC,SECTION,,Q221,What is the main contrast between the short-run and long-run Phillips curve?,"In the short run there is a positive relationship between inflation and unemployment, and in the long run the relationship is negative.","In the short run there is a positive relationship between inflation and unemployment, and in the long run the relationship is constant.","In the short run there is a negative relationship between inflation and unemployment, and in the long run the relationship is positive.","In the short run there is a negative relationship between inflation and unemployment, and in the long run the relationship is constant.","In the short run there is a constant relationship between inflation and unemployment, and in the long run the relationship is negative.",D,D âThe short-run Phillips curve is downward sloping but the long-run Phillips curve is vertical.,,,
APMACRO,NIPD,SECTION,,Q222,The effect of the spending multiplier is lessened if,the price level is constant with an increase in aggregate demand.,the price level falls with an increase in aggregate supply.,the price level is constant with an increase in long-run aggregate supply.,the price level falls with an increase in both aggregate demand and aggregate supply.,the price level rises with an increase in aggregate demand.,E,E âThe full spending multiplier effect of an increase in AD is felt only if there is no rise in the price.,,,
